site_id,once_married_percentage,agree_percentage,agree,legal_vote,legal_population,population
臺東縣蘭嶼鄉,0.5030056234244716,0.7530940594059405,1217,1616,4181,5157
花蓮縣花蓮市,0.5500043335484057,0.7628059095522725,33819,44335,84807,103841
花蓮縣鳳林鎮,0.6262216485340217,0.8,3992,4990,9676,10846
花蓮縣玉里鎮,0.5672512183946349,0.8100010662117496,7597,9379,20650,24007
花蓮縣新城鄉,0.5688774244754204,0.776735247569523,6871,8846,17029,20159
花蓮縣吉安鄉,0.5801660638540753,0.7807696500599586,28648,36692,72116,83221
花蓮縣壽豐鄉,0.6140174940108084,0.7831991347193847,6517,8321,15847,17949
花蓮縣光復鄉,0.6102900930487137,0.8089285714285714,4530,5600,11417,12789
花蓮縣豐濱鄉,0.6306818181818182,0.7734643734643735,1574,2035,4395,4752
花蓮縣瑞穗鄉,0.5997600274254371,0.8155041930865208,3987,4889,10279,11668
花蓮縣富里鄉,0.6154519801498491,0.7964884277733439,2994,3759,9065,10277
花蓮縣秀林鄉,0.5127674258109041,0.7852512155591572,4845,6170,12562,15939
花蓮縣萬榮鄉,0.5217323570649633,0.8089887640449438,2376,2937,5269,6419
花蓮縣卓溪鄉,0.5272906080970333,0.8211968276856525,2278,2774,4947,6101
澎湖縣馬公市,0.5532981951764894,0.7567204301075269,19142,25296,53655,62610
澎湖縣湖西鄉,0.5978484308619981,0.7852486496554293,4216,5369,12741,14594
澎湖縣白沙鄉,0.6246056782334385,0.7979539641943734,2808,3519,8625,9827
澎湖縣西嶼鄉,0.6361240867169721,0.7818336162988115,1842,2356,7382,8349
澎湖縣望安鄉,0.6294173829990449,0.7836065573770492,1434,1830,4628,5235
澎湖縣七美鄉,0.6216993464052287,0.7373225152129818,727,986,3374,3825
基隆市中正區,0.5843429456164119,0.7432627526467758,15445,20780,45545,51670
基隆市七堵區,0.5732029303484437,0.7259437141894169,17231,23736,46256,53782
基隆市暖暖區,0.5706776457184287,0.7167539267015707,12321,17190,33225,38619
基隆市仁愛區,0.5696546992911045,0.7255254937258432,13703,18887,36738,43730
基隆市中山區,0.5801721591628338,0.7247623574144487,15249,21040,41856,47398
基隆市安樂區,0.5699686489902058,0.711141060197664,25328,35616,70396,82294
基隆市信義區,0.5780259010292051,0.7154774507728139,16896,23615,46014,52662
新竹市東區,0.5382667025412171,0.6797019053472649,61929,91112,163757,215566
新竹市北區,0.5627608304379644,0.7105859212016451,47686,67108,123122,151679
新竹市香山區,0.5760938895267254,0.7298590273452981,25783,35326,64896,78390
嘉義市東區,0.5536801967613608,0.7165728002954482,38806,54155,100647,121162
嘉義市西區,0.5485351959853519,0.7322931195683828,47777,65243,120906,147460
臺北市松山區,0.5748753050529407,0.650645653698585,63084,96956,169278,205702
臺北市信義區,0.5856378073999803,0.6637358543286919,71262,107365,190444,223406
臺北市大安區,0.5757099885702445,0.645903887895135,91356,141439,252645,308843
臺北市中山區,0.5764765358064291,0.6449617874023791,69454,107687,195148,229456
臺北市中正區,0.5678427672955975,0.6575250192455735,47831,72744,128292,159000
臺北市大同區,0.5687365328109696,0.6544466961230524,39399,60202,107557,127625
臺北市萬華區,0.5854337747820446,0.6773507916481968,59594,87981,164020,189603
臺北市文山區,0.5735821626083971,0.6624455514276778,86838,131087,227211,273762
臺北市南港區,0.5787129119750144,0.6604327986725663,38210,57856,101907,121670
臺北市內湖區,0.5658406075935275,0.6437826339199381,86554,134446,236824,287429
臺北市士林區,0.577764671394271,0.6589835308145168,88429,134190,241854,286544
臺北市北投區,0.5741981434810512,0.6597835508981522,76876,116517,213250,255532
高雄市鹽埕區,0.5858514485223825,0.7121079793568876,8969,12595,21617,24059
高雄市鼓山區,0.5564356718260509,0.7164834839721306,48435,67601,114979,140133
高雄市左營區,0.5548782965581698,0.7260357727621298,70061,96498,161367,196872
高雄市楠梓區,0.5589082703689542,0.7330808052423933,65220,88967,153132,185687
高雄市三民區,0.5622108866484997,0.7170330317594948,121735,169776,289519,340913
高雄市新興區,0.580674870669384,0.7145393349853904,19319,27037,44355,51032
高雄市前金區,0.5924490328351534,0.722172008621289,10387,14383,23928,26831
高雄市苓雅區,0.5753737149863246,0.723890200642324,64689,89363,146786,169648
高雄市前鎮區,0.5710311139428693,0.7357467326753938,68512,93119,161797,188340
高雄市旗津區,0.5754577983582404,0.72910927456382,9528,13068,24860,28506
高雄市小港區,0.5696136729596429,0.7398523264445053,56814,76791,132733,157742
高雄市鳳山區,0.5603125286841586,0.739777162566942,130402,176272,300510,359519
